                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                0.68956,                0.56639,                0.99513,                0.93997,                  0.939,                0.97643,                0.86018,                0.53318,                0.37386,                0.90596,               0.005347,               0.005347,               0.005347
                     49,                0.68428,                0.56473,                0.99215,                0.92796,                0.92148,                 0.9688,                0.85024,                0.54147,                0.40426,                0.91166,               0.005248,               0.005248,               0.005248
                     50,                0.67778,                0.55714,                   0.99,                0.94801,                0.92021,                0.97255,                0.85446,                0.54226,                0.38527,                0.91121,               0.005149,               0.005149,               0.005149
                     51,                0.67244,                0.54961,                 0.9878,                0.94301,                0.93148,                 0.9751,                0.86352,                0.52448,                0.37327,                0.90054,                0.00505,                0.00505,                0.00505
                     52,                0.67342,                0.54032,                0.98719,                  0.944,                0.93528,                0.97447,                0.86481,                0.52204,                 0.3695,                0.90143,               0.004951,               0.004951,               0.004951
                     53,                0.67193,                0.53855,                 0.9864,                0.94599,                0.94274,                0.97839,                0.87168,                0.50602,                0.35212,                0.89355,               0.004852,               0.004852,               0.004852
                     54,                0.65684,                0.53158,                0.98145,                0.95003,                0.92913,                0.97523,                 0.8621,                0.52494,                0.36832,                0.90165,               0.004753,               0.004753,               0.004753
                     55,                0.66501,                0.53117,                0.98609,                0.96055,                0.92917,                0.97765,                0.87251,                0.50752,                0.34625,                0.89604,               0.004654,               0.004654,               0.004654
                     56,                0.66161,                0.53091,                0.98338,                 0.9539,                0.93536,                0.97742,                0.86952,                0.51311,                0.34744,                0.89535,               0.004555,               0.004555,               0.004555
                     57,                0.65596,                0.52476,                0.98189,                0.94504,                0.93924,                0.97814,                0.86982,                0.51127,                0.34943,                0.89701,               0.004456,               0.004456,               0.004456
                     58,                0.65022,                0.51859,                0.98056,                0.94825,                0.93449,                0.97745,                0.86921,                0.51095,                 0.3545,                 0.8954,               0.004357,               0.004357,               0.004357
                     59,                 0.6545,                0.51882,                0.98075,                0.94726,                0.93192,                0.97512,                0.86534,                0.51429,                0.35878,                 0.8982,               0.004258,               0.004258,               0.004258
                     60,                 0.6526,                 0.5142,                0.97989,                0.95566,                 0.9328,                0.97808,                0.87393,                 0.5072,                0.34667,                0.89615,               0.004159,               0.004159,               0.004159
                     61,                 0.6437,                0.50984,                0.97425,                0.95158,                0.94063,                0.97977,                0.87651,                0.50456,                0.33705,                 0.8961,                0.00406,                0.00406,                0.00406
                     62,                0.64339,                0.50821,                0.97379,                0.96095,                0.93234,                0.97929,                0.87506,                0.50706,                0.33915,                0.89674,               0.003961,               0.003961,               0.003961
                     63,                0.63927,                0.49366,                0.97291,                0.94727,                0.94782,                0.97932,                 0.8732,                0.51078,                0.33798,                0.89843,               0.003862,               0.003862,               0.003862
                     64,                 0.6395,                 0.4919,                0.97327,                0.95757,                0.94146,                0.97875,                0.87483,                0.50564,                  0.336,                0.89456,               0.003763,               0.003763,               0.003763
                     65,                0.63359,                0.49292,                0.97145,                0.95039,                0.94518,                0.97919,                0.87633,                0.50143,                0.33587,                0.89336,               0.003664,               0.003664,               0.003664
