,folder,number_of_images,model,mean,sd
118,14_classes,1000.0,yolov8s,0.99,0.001732050807568842
119,14_classes,1000.0,yolov8x,0.9907999999999999,0.0014832396974191354
120,5_classes_a,10.0,yolov8l,0.5334,0.13868056821343072
121,5_classes_a,10.0,yolov8m,0.8482,0.18391220731642585
122,5_classes_a,10.0,yolov8n,0.6876,0.2066792200488477
123,5_classes_a,10.0,yolov8s,0.884,0.19202083220317534
124,5_classes_a,10.0,yolov8x,0.5564,0.16090618384636435
125,5_classes_a,20.0,yolov8l,0.7742,0.087147575984648
126,5_classes_a,20.0,yolov8m,0.9183999999999999,0.061059806747155686
127,5_classes_a,20.0,yolov8n,0.8694,0.056663921502133986
128,5_classes_a,20.0,yolov8s,0.9432,0.035308639169472404
129,5_classes_a,20.0,yolov8x,0.6136,0.029921564130238932
130,5_classes_a,50.0,yolov8l,0.537,0.2168801512356536
131,5_classes_a,50.0,yolov8m,0.7826000000000001,0.07886887852632371
132,5_classes_a,50.0,yolov8n,0.7704,0.07828026571237476
133,5_classes_a,50.0,yolov8s,0.8378,0.05759513868374656
134,5_classes_a,50.0,yolov8x,0.4972,0.08915548216458702
135,5_classes_a,100.0,yolov8l,0.645,0.014866068747318514
136,5_classes_a,100.0,yolov8m,0.7811999999999999,0.06171871677214295
137,5_classes_a,100.0,yolov8n,0.8448,0.04140893623361991
138,5_classes_a,100.0,yolov8s,0.8996000000000001,0.03430451865279563
139,5_classes_a,100.0,yolov8x,0.4424,0.07916628070081354
140,5_classes_a,250.0,yolov8l,0.9644,0.03918928424965173
141,5_classes_a,250.0,yolov8m,0.9800000000000001,0.020334699407662794
142,5_classes_a,250.0,yolov8n,0.9869999999999999,0.014300349646075093
143,5_classes_a,250.0,yolov8s,0.9878,0.015546703830715977
144,5_classes_a,250.0,yolov8x,0.9762000000000001,0.02494393713911256
145,5_classes_a,500.0,yolov8l,0.9428000000000001,0.01561089363233249
146,5_classes_a,500.0,yolov8m,0.9632,0.010473776778220962
147,5_classes_a,500.0,yolov8n,0.9763999999999999,0.005549774770204637
148,5_classes_a,500.0,yolov8s,0.9751999999999998,0.0061400325732035
149,5_classes_a,500.0,yolov8x,0.9570000000000001,0.01827566688249704
150,5_classes_a,750.0,yolov8l,0.9629999999999999,0.0090277350426339
151,5_classes_a,750.0,yolov8m,0.9625999999999999,0.01043072384832423
152,5_classes_a,750.0,yolov8n,0.9778,0.007463243262818125
153,5_classes_a,750.0,yolov8s,0.9794,0.005412947441089765
154,5_classes_a,750.0,yolov8x,0.9638,0.010917875251164917
