number_of_images,model,fold,mAP,folder
250,yolov8x,1,0.934,5_classes_a
250,yolov8x,2,0.973,5_classes_a
250,yolov8x,3,0.99,5_classes_a
250,yolov8x,4,0.994,5_classes_a
250,yolov8x,5,0.99,5_classes_a
500,yolov8n,1,0.973,5_classes_a
500,yolov8n,2,0.985,5_classes_a
500,yolov8n,3,0.979,5_classes_a
500,yolov8n,4,0.972,5_classes_a
500,yolov8n,5,0.973,5_classes_a
500,yolov8s,1,0.966,5_classes_a
500,yolov8s,2,0.976,5_classes_a
500,yolov8s,3,0.974,5_classes_a
500,yolov8s,4,0.983,5_classes_a
500,yolov8s,5,0.977,5_classes_a
500,yolov8m,1,0.962,5_classes_a
500,yolov8m,2,0.98,5_classes_a
500,yolov8m,3,0.961,5_classes_a
500,yolov8m,4,0.951,5_classes_a
500,yolov8m,5,0.962,5_classes_a
500,yolov8l,1,0.939,5_classes_a
500,yolov8l,2,0.932,5_classes_a
500,yolov8l,3,0.958,5_classes_a
500,yolov8l,4,0.925,5_classes_a
500,yolov8l,5,0.96,5_classes_a
500,yolov8x,1,0.949,5_classes_a
500,yolov8x,2,0.977,5_classes_a
500,yolov8x,3,0.949,5_classes_a
500,yolov8x,4,0.935,5_classes_a
500,yolov8x,5,0.975,5_classes_a
750,yolov8n,1,0.973,5_classes_a
750,yolov8n,2,0.985,5_classes_a
750,yolov8n,3,0.978,5_classes_a
750,yolov8n,4,0.968,5_classes_a
750,yolov8n,5,0.985,5_classes_a
750,yolov8s,1,0.974,5_classes_a
750,yolov8s,2,0.984,5_classes_a
750,yolov8s,3,0.973,5_classes_a
750,yolov8s,4,0.983,5_classes_a
750,yolov8s,5,0.983,5_classes_a
750,yolov8m,1,0.963,5_classes_a
750,yolov8m,2,0.946,5_classes_a
750,yolov8m,3,0.968,5_classes_a
750,yolov8m,4,0.962,5_classes_a
750,yolov8m,5,0.974,5_classes_a
750,yolov8l,1,0.959,5_classes_a
750,yolov8l,2,0.95,5_classes_a
750,yolov8l,3,0.965,5_classes_a
750,yolov8l,4,0.974,5_classes_a
750,yolov8l,5,0.967,5_classes_a
750,yolov8x,1,0.958,5_classes_a
750,yolov8x,2,0.949,5_classes_a
750,yolov8x,3,0.966,5_classes_a
