number_of_images,model,fold,class,mAP,augmented,keep
10,yolov8l,2,all,0.725,Yes,Yes
10,yolov8l,3,all,0.853,Yes,Yes
10,yolov8l,4,all,0.881,Yes,Yes
10,yolov8l,5,all,0.989,Yes,Yes
10,yolov8x,1,all,0.327,Yes,Yes
10,yolov8x,2,all,0.599,Yes,Yes
10,yolov8x,3,all,0.572,Yes,Yes
10,yolov8x,4,all,0.762,Yes,Yes
10,yolov8x,5,all,0.983,Yes,Yes
20,yolov8n,1,all,0.574,Yes,Yes
20,yolov8n,2,all,0.773,Yes,Yes
20,yolov8n,3,all,0.837,Yes,Yes
20,yolov8n,4,all,0.7,Yes,Yes
20,yolov8n,5,all,0.809,Yes,Yes
20,yolov8s,1,all,0.598,Yes,Yes
20,yolov8s,2,all,0.915,Yes,Yes
20,yolov8s,3,all,0.915,Yes,Yes
20,yolov8s,4,all,0.84,Yes,Yes
20,yolov8s,5,all,0.894,Yes,Yes
20,yolov8m,1,all,0.55,Yes,Yes
20,yolov8m,2,all,0.696,Yes,Yes
20,yolov8m,3,all,0.754,Yes,Yes
20,yolov8m,4,all,0.779,Yes,Yes
20,yolov8m,5,all,0.853,Yes,Yes
20,yolov8l,1,all,0.526,Yes,Yes
20,yolov8l,2,all,0.734,Yes,Yes
20,yolov8l,3,all,0.885,Yes,Yes
20,yolov8l,4,all,0.866,Yes,Yes
20,yolov8l,5,all,0.862,Yes,Yes
20,yolov8x,1,all,0.505,Yes,Yes
20,yolov8x,2,all,0.825,Yes,Yes
20,yolov8x,3,all,0.854,Yes,Yes
20,yolov8x,4,all,0.908,Yes,Yes
20,yolov8x,5,all,0.903,Yes,Yes
50,yolov8n,1,all,0.617,Yes,Yes
50,yolov8n,2,all,0.665,Yes,Yes
50,yolov8n,3,all,0.695,Yes,Yes
50,yolov8n,4,all,0.751,Yes,Yes
50,yolov8n,5,all,0.812,Yes,Yes
50,yolov8s,1,all,0.661,Yes,Yes
50,yolov8s,2,all,0.811,Yes,Yes
50,yolov8s,3,all,0.831,Yes,Yes
50,yolov8s,4,all,0.812,Yes,Yes
50,yolov8s,5,all,0.875,Yes,Yes
50,yolov8m,1,all,0.69,Yes,Yes
50,yolov8m,2,all,0.745,Yes,Yes
50,yolov8m,3,all,0.79,Yes,Yes
50,yolov8m,4,all,0.868,Yes,Yes
50,yolov8m,5,all,0.837,Yes,Yes
50,yolov8l,1,all,0.601,Yes,Yes
50,yolov8l,2,all,0.696,Yes,Yes
50,yolov8l,3,all,0.781,Yes,Yes
50,yolov8l,4,all,0.799,Yes,Yes
50,yolov8l,5,all,0.803,Yes,Yes
50,yolov8x,1,all,0.624,Yes,Yes
50,yolov8x,2,all,0.692,Yes,Yes
50,yolov8x,3,all,0.733,Yes,Yes
50,yolov8x,4,all,0.766,Yes,Yes
50,yolov8x,5,all,0.675,Yes,Yes
100,yolov8n,1,all,0.63,Yes,Yes
100,yolov8n,2,all,0.688,Yes,Yes
100,yolov8n,3,all,0.717,Yes,Yes
100,yolov8n,4,all,0.772,Yes,Yes
100,yolov8n,5,all,0.799,Yes,Yes
100,yolov8s,1,all,0.648,Yes,Yes
100,yolov8s,2,all,0.86,Yes,Yes
100,yolov8s,3,all,0.827,Yes,Yes
100,yolov8s,4,all,0.933,Yes,Yes
100,yolov8s,5,all,0.951,Yes,Yes
100,yolov8m,1,all,0.617,Yes,Yes
100,yolov8m,2,all,0.798,Yes,Yes
100,yolov8m,3,all,0.785,Yes,Yes
100,yolov8m,4,all,0.843,Yes,Yes
100,yolov8m,5,all,0.836,Yes,Yes
